Codice_Fiscale,Nome,Cognome,Via,Numero_Civico,CAP,Provincia,Data_Nascita,Email,Telefono,Vendita,Noleggio
CSYYKE38D68U746H,Sergeant,Oak,"Maple Wood",27,47473,MK,1953-12-20,soak9u@xing.com,654-240-4115,1,1
CSZPWG62Y24W749W,Stacee,Phythean,Brentwood,142,37198,SP,1950-09-30,sphytheanau@opensource.org,699-466-9186,0,0
CTHEMC80L01Z859X,Mitchell,Timcke,Butternut,149,54345,XT,1952-12-03,mtimcke6u@si.edu,776-542-3479,0,0
CXDOXL88Y23Q196N,Adrianne,O'Dulchonta,Loeprich,12,37553,BX,1956-06-12,aodulchontas@example.com,667-160-9374,0,1
DALWZV82F51P785Y,Sheppard,MacConchie,Division,39,46238,PI,1991-12-05,smacconchie32@nydailynews.com,234-262-0996,0,1
DBEDTD56U37T799A,Eula,Kless,Superior,144,69282,YZ,1983-01-08,ekless39@mtv.com,967-138-4552,1,0
DBLGDH64L13N537B,Mallory,Kidds,Comanche,95,70190,HK,1971-12-31,mkiddsa5@weibo.com,528-854-5189,1,1
DCMJRR90M88C198Y,Jeramie,Heed,Columbus,164,11063,QZ,1982-01-13,jheed16@techcrunch.com,767-277-6176,0,1
DDPEQF88V09C680E,Sandye,Fowgies,Farmco,188,05474,LA,1962-05-13,sfowgies4u@home.pl,278-770-3433,0,1
DEUOAW10N04S873S,Karalee,Rosgen,Hansons,144,42459,ZO,1964-10-19,krosgendn@flickr.com,108-816-9846,0,1
DFFNHO36V42C587H,Mathew,Aldous,Mcguire,161,33603,QE,1964-12-17,maldousef@geocities.jp,226-471-1355,0,0
DFUOAM84R76I251I,Wynny,Thonger,Butternut,96,81508,CN,1954-05-11,wthongeral@amazon.com,313-825-3058,1,0
DJGAIX92U95M851O,Melissa,Poynton,Welch,110,09100,AX,1972-08-11,mpoyntonho@livejournal.com,407-743-5247,0,1
DJJRDE55J30H817D,Leeann,Lukesch,Ludington,136,47242,ID,1954-07-26,llukesch3c@time.com,938-285-9512,1,1
DJQLIS80B95H293O,Abba,Lavington,"Park Meadow",75,65854,AW,1953-08-03,alavingtonf4@jiathis.com,123-116-7549,1,1
DKZWBB14C41Z230R,Tomasine,Eastbury,Troy,162,21007,RU,1994-10-28,teastbury5s@go.com,577-867-2858,0,0
DOOGOW03N80C625T,Creight,Mundow,Spenser,109,73038,TF,1990-07-23,cmundowf0@narod.ru,389-577-5932,0,0
DPJSBJ29Z52F587B,Fitzgerald,Rubroe,Bluejay,59,74623,BE,1958-11-10,frubroedp@about.me,404-102-5423,1,0
DQBXBH84Q87T608G,Julianna,Salaman,Starling,38,73622,JU,1972-08-31,jsalamanhk@ocn.ne.jp,664-736-1333,1,0
DSBUDI18L98T470M,Phylys,Greenhouse,Mallory,11,94516,YP,1958-10-27,pgreenhousedm@elpais.com,676-115-3221,0,0
DSPNJX53V75L306Q,Ashla,Sebring,Lunder,189,87289,UW,1992-12-07,asebringn@ucoz.com,112-940-6028,1,1
DTNHEY49U97A228M,Stu,Duker,Bayside,4,69253,UD,1954-05-30,sduker5f@instagram.com,617-844-6840,1,1
DWQZXD25E75I103A,Hortense,Darragon,Butterfield,24,97152,DK,1991-01-12,hdarragon7a@chron.com,819-300-9901,0,0
DWZGPH36V95T072R,Carce,Silber,Farragut,57,05220,VS,1957-04-30,csilberhn@chron.com,194-943-6056,1,1
DWZMZP55Y31F505B,Say,Marder,Pierstorff,15,93698,DV,1979-02-20,smarder71@delicious.com,814-660-9654,0,0
DXDGKX90W87Y932Z,Bianca,Skryne,Dryden,9,72185,FO,1997-08-24,bskrynefo@cafepress.com,279-916-9553,1,0
DZETJN50Z07U534A,Ophelia,Ratcliffe,Pearson,195,42633,TI,1963-09-24,oratcliffe5o@imdb.com,108-561-3293,1,0
DZQAUI01M19N283J,Matthias,Keniwell,Elka,60,71840,OC,1976-12-19,mkeniwell1y@tripadvisor.com,137-813-0031,1,0
EATKAY62C60F452G,Adel,"de Verson",4th,132,35223,ED,1990-08-25,adeversong8@usda.gov,630-194-5759,0,0
EAUIWW04C99F792C,Fielding,Messer,Buell,193,89704,BI,1991-06-28,fmesserbm@mac.com,145-338-6320,0,1
EBIHQX29V65J947C,Amanda,Wattisham,Arapahoe,136,50202,ML,1964-05-10,awattishamhc@army.mil,719-693-0729,1,1
EBOLCV84Q24N774C,Reina,"De Moreno",Carberry,171,95143,ZM,1988-11-30,rdemorenoam@google.co.uk,144-356-2186,1,1
EDBUTE39P82O708W,Korry,Duignan,Sundown,118,25956,VZ,1997-10-20,kduignan9q@4shared.com,817-159-9165,0,1
EGICTL18J48C931J,Marinna,Twatt,Anniversary,183,87463,DW,1957-11-08,mtwatt6f@samsung.com,884-445-4568,0,0
EGNNSQ58I21V072T,Dolley,Smedmore,Vera,182,85520,AT,1957-06-20,dsmedmore6s@ehow.com,802-845-2645,0,1
EGPDVE64N89B221X,Massimo,Arnoult,Canary,43,73517,MB,1972-02-02,marnoulthg@marketwatch.com,571-492-6269,0,1
EHFCZR29V05E294F,Diandra,Birtwistle,Logan,47,75578,YN,1987-05-28,dbirtwistle1h@tuttocitta.it,107-132-8147,0,1
EHGLZS25F40M201I,Hi,Waddoups,Tennyson,153,67828,RW,1971-09-02,hwaddoups26@cmu.edu,290-959-0814,1,0
EHIYIY02F44R920V,Olimpia,Raubheim,Schmedeman,48,55077,WO,1979-05-03,oraubheim7r@google.es,761-478-7803,0,1
EHNKGS82J60Q385Z,Meredithe,Proudley,Bellgrove,140,31286,VE,1975-05-04,mproudley3t@nyu.edu,791-479-7616,1,0
EHXKQC03V42U058H,Janene,Forcade,Browning,103,17477,KB,1952-07-05,jforcadee@sciencedirect.com,284-277-5437,1,0
EKOTEO03D79C695W,Conny,Pounder,Florence,123,92527,CA,1976-11-24,cpounderhl@over-blog.com,912-521-2628,1,1
EKTWSF47Q88T113S,Cherilyn,Filler,Pawling,196,59679,QO,1985-12-14,cfilleru@mediafire.com,623-454-7652,1,1
ELNUNK04G89J271U,Ransell,Curle,Moose,109,18659,XM,1997-11-24,rcurleh8@so-net.ne.jp,503-177-9683,1,1
ELUDKT58E99W853M,Patty,Corbet,Brown,34,29532,HO,1967-08-24,pcorbet4e@soundcloud.com,712-603-9895,0,0
ENEGRD73I87H140X,Phebe,McGuigan,Talmadge,11,51321,NM,1999-06-20,pmcguigan9x@smh.com.au,265-912-7641,1,1
ENWPSW44Y66V760J,Spencer,McAreavey,Rieder,78,65762,QE,1970-03-04,smcareaveybp@e-recht24.de,587-778-1952,0,1
EOGILT29G79E685A,Cristi,aManger,Bluejay,129,99435,VH,1951-08-07,camanger9v@blogs.com,715-763-7036,0,0
EOMSOR51V87B400W,Jenilee,Borgne,Ilene,125,01098,ZX,1957-11-03,jborgne83@tripod.com,570-663-5076,0,0
ETXEQZ63M57Y944B,Renaud,Tuffley,Toban,49,87674,SE,1991-10-10,rtuffleye3@earthlink.net,778-840-1218,0,1
ETXKVQ18D71H299N,Alaster,Simpkins,Carberry,97,53076,KI,1987-09-01,asimpkins9t@usa.gov,203-969-4055,1,1
EUFYNR16X90S631F,Estell,Metherell,Prairieview,154,61104,WU,1952-07-30,emetherell2u@weather.com,209-945-3114,1,1
EUJURP79S37H611F,Rina,MacRonald,Fremont,197,72033,VP,1956-02-13,rmacronaldbo@trellian.com,599-947-0113,1,0
EYYOEX12Q17N698E,Jordanna,Kibel,Glendale,6,63223,WT,1985-12-06,jkibel5u@unicef.org,418-247-2060,0,0
EZLSOV40Y29F786I,Georgi,Buy,Spenser,15,72385,XJ,1992-12-08,gbuy9n@springer.com,434-358-9147,1,0
EZYMIQ77V21P502Y,Corby,Takis,Ludington,20,77530,EA,1971-09-02,ctakisaa@ameblo.jp,211-750-9154,0,1
FALDMA79A02E678K,Marysa,Wither,"Lighthouse Bay",42,46271,VH,1979-09-02,mwither2z@mysql.com,169-427-1343,1,1
FCAWUP75Q15I032U,Alessandra,Entres,Dawn,68,16923,GG,1991-02-11,aentres6q@1688.com,915-617-8704,0,0
FCQEBD85K57Y491T,Vernon,Redhole,"Pine View",195,51297,SE,1984-12-12,vredhole78@woothemes.com,249-900-1078,1,1
FCQFMO06I95N178B,Briney,Passman,Stuart,156,55772,PG,1970-09-21,bpassman4q@buzzfeed.com,590-998-9635,0,1
FEQZTT01K44U855V,Andriana,Bendixen,Michigan,172,37865,LC,1954-01-17,abendixeng1@foxnews.com,983-464-5818,1,1
FGMJRD88J96G212Q,Jazmin,Hubach,Rigney,85,96709,ZB,1997-11-03,jhubach8r@instagram.com,379-413-6062,0,0
FILXNU71F40Y532I,Chick,Doyley,Eastwood,197,07069,GE,1989-05-28,cdoyley4p@ehow.com,490-135-7443,1,1
FJSLFG44R01P543M,Cherilyn,Kuller,Nobel,159,81565,PB,1983-04-06,ckuller9p@sbwire.com,747-819-0140,0,0
FOQKFL09D13W363F,Cornelia,Stacy,Schlimgen,102,18687,KL,1951-12-06,cstacyfk@prlog.org,374-915-7736,0,1
FPYJIE60Z73E367L,Rea,Meaney,Elka,116,22629,QO,1955-06-24,rmeaney6n@e-recht24.de,810-563-2544,1,1
FSBNIR39R17J032J,Clarice,Yuille,Dryden,41,89637,SM,1998-11-07,cyuille35@patch.com,371-338-6636,1,0
FSRJUM14V56U599I,Burtie,Shouler,Northfield,111,00494,TY,1954-11-13,bshouleri1@illinois.edu,899-704-6645,0,1
FUSUHO44U43I689Y,Wayland,Curme,Birchwood,142,44965,AP,1973-10-29,wcurmebd@latimes.com,940-457-9934,0,1
FWVOJZ20U92W055X,Herb,Lindegard,Center,117,41909,HX,1974-03-01,hlindegardbk@wikispaces.com,934-539-5689,0,1
FXACIK81U79E115A,Pammi,Jirak,Milwaukee,53,24627,ML,1977-05-25,pjirakae@springer.com,184-928-0030,0,0
FXBURD91V00A303F,Cobb,Broose,Debs,120,47328,PM,1998-05-11,cbrooseaf@ustream.tv,742-432-6811,1,0
FXECZY22W46H093X,Leora,Ralston,Green,87,62261,UX,1967-05-08,lralston1k@nydailynews.com,752-806-4611,1,0
FXOYRG91J41I596S,Jeannie,Gounin,Eagan,106,28537,FQ,1969-05-19,jgouningn@ca.gov,743-562-5845,0,0
FZYAOX04T15C227A,Marianne,Godsmark,Commercial,169,05808,UW,1981-05-10,mgodsmark9y@issuu.com,283-589-6397,0,1
GAMPWW61E97D984V,Evey,Stout,Scoville,196,02522,QN,1972-05-10,estout3y@blinklist.com,499-458-6274,0,1
GAPDSM77K05S695Y,Basilius,Tesyro,Dahle,191,00571,ER,1953-04-25,btesyrocj@globo.com,463-657-7574,0,0
GDEGGN69W15E478I,Randene,Elsmor,1st,177,58609,XS,1951-09-08,relsmor62@phpbb.com,633-568-5150,0,1
GEALBL45E73O612Z,Willette,Nicholas,Hauk,49,14252,CL,1964-09-30,wnicholas13@bbc.co.uk,886-863-5190,0,1
GFGGEZ04H97E234R,Gaye,Renney,Washington,195,92709,LC,1977-06-15,grenney2y@fotki.com,173-459-1957,1,1
GGTOVX43I69Q115P,Robbi,Jakoubec,Rieder,20,39772,BV,1957-02-02,rjakoubecea@google.cn,812-590-5570,1,1
GHBQMJ49M60M124W,Thane,Shieber,Esch,33,64470,UI,1967-07-09,tshieber55@cbc.ca,573-108-7990,0,0
GHLCUT76D05E327U,Gina,Pollastro,Manitowish,181,92242,VV,1951-05-12,gpollastrogl@tinypic.com,759-823-5935,1,1
GHYMLE53H34H114R,Estell,Mennithorp,Evergreen,156,19933,LG,1986-03-23,emennithorp82@about.com,310-207-6879,1,1
GICCIN03P68N368D,Spence,Barhams,Kim,160,05976,HK,1993-12-02,sbarhamsg3@free.fr,340-754-0555,1,1
GKALBL56A02C139J,Janene,Taylo,Jay,111,57773,EP,1993-07-10,jtaylob4@java.com,921-466-7077,1,0
GLZRBL21D82K223P,Mella,McClaurie,Lyons,16,59449,YT,1980-09-20,mmcclaurie8h@themeforest.net,859-910-5584,0,0
GPPQGA68G81T117X,Josee,Joffe,Lien,92,38766,HM,1990-08-11,jjoffegy@zdnet.com,548-578-8969,0,0
GPWFZG35E01C104Y,Maridel,Andrasch,Arizona,194,70533,NR,1956-08-28,mandrasch5@redcross.org,585-529-5518,1,0
GQMSFR55I49B521U,Almire,Ughetti,Bartelt,73,19195,DR,1951-09-13,aughettigi@samsung.com,551-470-9533,1,1
GQPZUP25I29C293C,Darelle,Eltone,Melrose,127,69557,BL,1994-10-31,deltonefq@joomla.org,469-657-9490,1,1
GRKZME57G97Z477W,Nicole,Horney,Ilene,27,94890,UY,1989-01-25,nhorneybf@discuz.net,112-368-6110,0,1
GSNRAL69G95D584U,Orv,Orneles,Mallard,33,46927,TZ,1977-11-05,oornelesck@squidoo.com,658-493-2940,0,1
GSPASX24Y35P034I,Giuseppe,MacNeilley,Susan,24,27587,SK,1959-05-09,gmacneilleyg6@taobao.com,782-779-8991,0,0
GVTHTE67W76X522E,Reeta,Huckerby,Stoughton,64,72206,TT,1991-09-22,rhuckerbyeu@com.com,344-392-9486,1,0
GWLLHV17S51F603U,Gabriele,Gallagher,Melrose,86,12250,CM,1967-11-30,ggallaghered@ning.com,707-933-3879,0,0
GWSWCE20P38A006U,Ford,Rosin,Donald,37,78648,OM,1998-07-11,frosin2@mit.edu,854-369-7279,1,1
GXFIED95E59B278B,Corette,Moatt,Eastwood,157,08592,FV,1962-09-11,cmoattb2@kickstarter.com,600-260-2028,0,0
GZEHLR76D39C543A,Ty,Stych,Randy,88,02760,EQ,1960-12-08,tstych43@parallels.com,817-272-0934,1,1
GZJGVO55D81E735F,Creighton,Brisson,Schmedeman,102,94264,XL,1952-05-27,cbrisson42@google.com.hk,269-802-4448,1,0
GZXTGR40I97H498N,Alejandrina,Snowding,Crowley,53,73172,RS,1971-10-24,asnowdinggj@cnet.com,611-473-2612,0,0
HAJEKZ86M57Z707M,Bondy,Buckleigh,Utah,108,01254,AV,1980-10-12,bbuckleigh9a@home.pl,312-260-2955,0,0
HAJUYE51Y25H475B,Mickie,Hulburd,Gale,176,90293,TH,1959-03-02,mhulburdb3@nationalgeographic.com,364-756-8924,0,1
HBQBMH10E35Q167P,Salmon,Rawstorn,3rd,185,63686,KF,1952-09-30,srawstornby@odnoklassniki.ru,745-705-1366,0,1
HEXPBO81L63U701Q,Anselm,Joseland,Russell,51,83692,BT,1998-10-31,ajoseland3l@discovery.com,750-740-4522,0,0
HFHBIX77M04P790D,Sherline,Kemery,"Hollow Ridge",85,39315,ZR,1976-04-07,skemery2h@mozilla.org,420-884-4043,0,0
HFKPJM20B34A909A,Hubert,Polfer,Monica,80,03612,SA,1982-09-27,hpolfera9@wisc.edu,264-232-6416,0,0
HHATWT08D60D062Y,Lauraine,Pechold,Schurz,80,27923,LA,1988-04-04,lpechold5b@hibu.com,970-105-9452,1,0
HHBEPI57O65K856C,Mickie,Sutter,Sauthoff,174,44381,CH,1973-03-30,msutter66@parallels.com,289-905-4312,1,1
HHTIBF31E44D146I,Roshelle,Laugherane,Stuart,166,09777,ZX,1973-06-29,rlaugheraneak@eepurl.com,577-299-4383,1,1
HKGSWS83V01P425N,Hilde,Janaway,Trailsway,123,20933,WA,1961-05-06,hjanawayx@surveymonkey.com,833-145-5284,1,1
HMMWBL16E21W701X,Elliott,Luciano,"Di Loreto",153,58949,NT,1951-03-14,eluciano4l@wikimedia.org,277-256-7692,1,0
HNIKRQ55V95I176E,Truman,Henlon,Truax,123,09695,WS,1999-07-22,thenlon52@miibeian.gov.cn,912-801-0714,1,1
HOBWBO65C48D721M,Ellis,Stinson,Barnett,94,52124,DT,1976-08-08,estinsonbl@ning.com,585-612-1882,0,1
HOFNMG10T17C861H,Constancy,Polglaze,Thackeray,37,55075,HU,1978-05-04,cpolglaze8k@blogger.com,548-936-4149,0,0
HSIDYJ93N93N715V,Grady,Casillis,"Park Meadow",86,00394,YC,1974-04-15,gcasillis60@myspace.com,539-824-8200,1,0
HSRPCH35V50I132Y,Garv,McGairl,Scott,133,20841,HO,1965-03-24,gmcgairldy@behance.net,562-204-9337,1,0
HTOTRQ04A62J412T,Terry,Iczokvitz,Kings,35,21326,ZJ,1982-08-04,ticzokvitz4m@amazon.de,752-645-2870,0,0
HTTUBV34H99Z729I,Calida,Smeath,"Green Ridge",67,66759,UN,1986-12-09,csmeathex@irs.gov,751-873-0976,0,1
HUBMJU96H67W008J,Rupert,Seawright,"Bunker Hill",119,13875,XS,1962-01-28,rseawright8l@creativecommons.org,927-860-5841,0,0
HVYDZC52N40G147U,Shoshana,Eckly,Carberry,179,56095,KZ,1984-11-25,seckly19@opera.com,854-183-3063,1,1
HXJRYW27C89O640E,Derby,Gheeraert,"Crest Line",135,13400,JA,1978-11-15,dgheeraertee@netvibes.com,690-677-8499,0,1
HYCKWG44E89U808X,Elwyn,Jacobson,Leroy,27,61341,CQ,1957-01-21,ejacobson9k@booking.com,951-329-3259,0,1
HYEVIR65R13R863T,Jard,Jedrysik,Surrey,117,68783,PR,1979-07-27,jjedrysik8z@storify.com,687-879-8512,0,1
HYGYDE43Y42E709K,Brandise,Liger,Transport,67,79934,BE,1972-01-07,bliger9h@ed.gov,406-196-0758,1,1
HYLXBN78J36R898E,Hatty,Drohan,Anderson,190,89375,MJ,1972-09-01,hdrohan5j@flickr.com,621-193-7698,0,0
HZAVUY41G66L333X,Danice,Sibylla,Hudson,32,58823,XZ,1972-12-09,dsibylla7j@diigo.com,502-692-5269,1,0
HZDXMV23F80T736B,Gavan,McCaughey,Basil,160,87191,VT,1965-06-04,gmccaughey6c@hhs.gov,665-189-8620,1,0
IABKUK22Z37D061M,Paule,Stoves,Lawn,22,81743,AL,1954-09-10,pstovesen@printfriendly.com,384-996-5682,1,1
