Id_Noleggio,Data_Consegna,Data_Ordine,Numero_Giorni,Luogo_Restituzione,Id_Dipendente,N_Id_Veicolo,N_Codice_Fiscale
900020,2022-05-18,2022-05-17,15,Reforma,2000068,1D7RB1GP7AS311415,BKYKNJ91X85R587T
900021,2022-07-09,2022-07-07,17,Kapinango,2000135,1D7RE5GK5BS166637,BLVFUF67U35U133Q
900022,2022-07-08,2022-07-07,4,"Black River",2000011,1D7RV1CP5BS933770,BNFGPY17G18J574E
900023,2022-05-24,2022-05-22,19,"Curahkalak Tengah",2000074,1D7RV1GT7BS993167,BNMSWA07M88K291E
900024,2022-08-07,2022-08-05,5,"Banjar Bongangede",2000005,1D7RW3GK0BS221318,BNVEFK57S62F256J
900025,2022-07-01,2022-06-29,19,Reforma,2000031,1FA6P0G73E5364938,BQGJKI11N91J623D
900026,2022-06-28,2022-06-26,16,Houjia,2000093,1FADP5AU3DL398472,BQPXMW91K40Z655X
900027,2022-07-02,2022-06-30,6,Jumpangdua,2000116,1FAHP3E2XCL695638,BTLCNU38B77A480P
900028,2022-08-07,2022-08-05,5,Guxi,2000082,1FBAX2CM4FK354144,BWLFES44M80C407K
900029,2022-07-07,2022-07-06,17,Fundong,2000137,1FBNE3BL2DD156041,BWLYKL04V01P581D
900030,2022-06-03,2022-06-01,14,Pyatovskiy,2000008,1FMCU0E70AK344532,CAQAWO75M36T173Q
900031,2022-06-28,2022-06-27,11,Chortkiv,2000172,1FMJK1F56BE701003,CHIDDJ74U01M308F
900032,2022-07-23,2022-07-21,9,Floda,2000077,1FMJK1H59BE019830,CIEFDT13N50B891C
900033,2022-08-10,2022-08-08,18,Donglai,2000131,1FMJK1HT2FE492246,CIZGWH45Q71V543Z
900034,2022-05-20,2022-05-17,7,Donglai,2000141,1FMJK2A58AE891947,CJYQYU53W30L121K
900035,2022-07-15,2022-07-13,16,Rozwadza,2000043,1FMJU1H51AE944207,COYIRX31P49G975F
900036,2022-07-02,2022-07-01,6,Rozwadza,2000139,1FMNE1BW4AD275131,CPULBG17D63F210P
900037,2022-07-04,2022-07-01,15,Zhongxing,2000168,1FT7W2A69EE029869,CRHCTO21J03R505S
900038,2022-07-22,2022-07-19,13,Lhoknga,2000094,1FTEW1C81AK491211,CRIAYT32Y63Y307L
900039,2022-06-22,2022-06-21,13,Reforma,2000024,1FTEX1CM8BF263680,CSLOLY28G46O506M
900040,2022-06-05,2022-06-03,12,Dengzhou,2000085,1FTEX1E83AF043958,CSYYKE38D68U746H
900041,2022-06-08,2022-06-07,3,Floda,2000012,1FTEX1EW4AK395484,CXDOXL88Y23Q196N
900042,2022-08-11,2022-08-08,10,Hengjie,2000074,1FTMF1EW1AF601271,DALWZV82F51P785Y
900043,2022-08-13,2022-08-12,18,Koupla,2000006,1FTMF1EW2AF789931,DBLGDH64L13N537B
900044,2022-06-17,2022-06-16,20,Ambarawa,2000175,1FTNF2B57AE959342,DCMJRR90M88C198Y
900045,2022-07-14,2022-07-13,17,Dengzhou,2000053,1FTSW2A55AE246377,DDPEQF88V09C680E
900046,2022-07-15,2022-07-13,18,Koupla,2000066,1FTSW3A53AE527289,DEUOAW10N04S873S
900047,2022-05-22,2022-05-20,10,Houjia,2000069,1FTSX2A50AE171083,DJGAIX92U95M851O
900048,2022-07-15,2022-07-12,5,Yashalta,2000041,1FTSX2A59AE046518,DJJRDE55J30H817D
900049,2022-06-09,2022-06-08,19,Reforma,2000067,1FTWX3A5XAE280657,DJQLIS80B95H293O
900050,2022-07-09,2022-07-08,7,Shardara,2000091,1G4GA5EC6BF079519,DSPNJX53V75L306Q
900051,2022-07-01,2022-06-29,20,Tyres,2000123,1G4GB5ER1CF699942,DTNHEY49U97A228M
900052,2022-08-04,2022-08-02,6,Mojokerto,2000091,1G4GE5E3XCF416988,DWZGPH36V95T072R
900053,2022-08-06,2022-08-04,20,Terangun,2000168,1G4GE5GD3BF022527,EAUIWW04C99F792C
900054,2022-07-01,2022-06-30,16,Koupla,2000165,1G4GJ5G39DF908244,EBIHQX29V65J947C
900055,2022-07-11,2022-07-08,19,Creil,2000076,1G4HP52K234335957,EBOLCV84Q24N774C
900056,2022-06-28,2022-06-27,18,Kelasuri,2000144,1G4PR5SK7F4170336,EDBUTE39P82O708W
900057,2022-07-20,2022-07-17,14,Houjia,2000166,1G4PR5SK9C4883296,EGNNSQ58I21V072T
900058,2022-07-30,2022-07-29,15,Chortkiv,2000022,1G6AA5RA9E0857213,EGPDVE64N89B221X
900059,2022-08-16,2022-08-13,9,Rozwadza,2000000,1G6AA5RX8D0696761,EHFCZR29V05E294F
900060,2022-07-17,2022-07-16,3,Tyres,2000172,1G6AB5RA6F0121697,EHIYIY02F44R920V
900061,2022-07-04,2022-07-03,17,Donglai,2000131,1G6AB5RX1F0709687,EKOTEO03D79C695W
900062,2022-06-18,2022-06-17,15,"Banjar Bongangede",2000002,1G6AB5SA5E0348081,EKTWSF47Q88T113S
900063,2022-07-17,2022-07-14,7,Taouloukoult,2000029,1G6AC5SX6F0500758,ELNUNK04G89J271U
900064,2022-08-01,2022-07-29,6,"San Miguel",2000152,1G6AG5RX3D0651032,ENEGRD73I87H140X
900065,2022-07-08,2022-07-07,3,"Curahkalak Tengah",2000071,1G6AX5SX0F0456115,ENWPSW44Y66V760J
900066,2022-08-01,2022-07-29,10,Brasy,2000096,1G6AZ5S3XE0226104,ETXEQZ63M57Y944B
900067,2022-06-07,2022-06-04,8,Yajiang,2000143,1G6D25EY3B0996326,ETXKVQ18D71H299N
900068,2022-07-29,2022-07-27,16,Dengzhou,2000083,1G6DA1ED9B0905195,EUFYNR16X90S631F
900069,2022-05-22,2022-05-19,3,Yasothon,2000173,1G6DA5EG0A0661811,EZYMIQ77V21P502Y
900070,2022-06-17,2022-06-15,5,Yasothon,2000126,1G6DA67V080901953,FALDMA79A02E678K
900071,2022-08-15,2022-08-12,16,Koupla,2000061,1G6DA8E57C0914626,FCQEBD85K57Y491T
900072,2022-06-16,2022-06-13,19,Fundong,2000062,1G6DF8EY5B0584365,FCQFMO06I95N178B
900073,2022-05-29,2022-05-26,16,"Black River",2000159,1G6DH8EY9B0981586,FEQZTT01K44U855V
900074,2022-07-29,2022-07-27,17,"Black River",2000132,1G6DJ8E36D0786704,FILXNU71F40Y532I
900075,2022-07-24,2022-07-21,17,Creil,2000057,1G6DJ8EY3B0283589,FOQKFL09D13W363F
900076,2022-07-29,2022-07-28,19,Shumyachi,2000117,1G6DK1ED3B0968998,FPYJIE60Z73E367L
900077,2022-06-23,2022-06-20,4,Niedzwiedz,2000167,1G6DK8EG8A0416804,FSRJUM14V56U599I
900078,2022-06-22,2022-06-20,14,Guxi,2000145,1G6DL67A980578879,FUSUHO44U43I689Y
900079,2022-07-22,2022-07-20,11,Mojokerto,2000166,1G6DM1E37D0289451,FWVOJZ20U92W055X
900080,2022-06-30,2022-06-27,7,Floda,2000134,1G6DM577680352777,FZYAOX04T15C227A
900081,2022-06-20,2022-06-19,5,Xinzhou,2000028,1G6DN8EV9A0927461,GAMPWW61E97D984V
900082,2022-06-26,2022-06-24,13,Floda,2000011,1G6DS5E39D0543450,GDEGGN69W15E478I
900083,2022-05-27,2022-05-24,5,"Zgornje Pirnice",2000116,1G6DT57V180050749,GEALBL45E73O612Z
900084,2022-05-25,2022-05-24,6,Guxi,2000017,1G6DV8EP4D0887506,GFGGEZ04H97E234R
900085,2022-06-21,2022-06-19,7,Jumpangdua,2000075,1G6DX67D780035657,GGTOVX43I69Q115P
900086,2022-07-14,2022-07-11,11,Floda,2000151,1G6DX67D880612874,GHLCUT76D05E327U
900087,2022-06-09,2022-06-08,11,Donglai,2000063,1G6KD54Y55U047960,GHYMLE53H34H114R
900088,2022-06-11,2022-06-08,4,Kti,2000092,1G6KD57YX9U758376,GICCIN03P68N368D
900089,2022-06-28,2022-06-25,8,"San Miguel",2000010,1G6KF54984U288574,GQMSFR55I49B521U
900090,2022-06-01,2022-05-29,10,Chortkiv,2000156,1G6KH5EY5AU757440,GQPZUP25I29C293C
900091,2022-06-15,2022-06-12,15,Hengjie,2000169,1G6KY54903U300726,GRKZME57G97Z477W
900092,2022-07-31,2022-07-29,8,"Banjar Bongangede",2000157,1GD11XEG5FF082132,GSNRAL69G95D584U
900093,2022-07-06,2022-07-03,20,Taouloukoult,2000094,1GD11ZCG1BF455952,GWSWCE20P38A006U
900094,2022-06-17,2022-06-16,16,"Al Fashn",2000114,1GD21XEG2FZ306010,GZEHLR76D39C543A
900095,2022-06-14,2022-06-12,8,Kti,2000150,1GD21ZCG0BZ203323,HAJUYE51Y25H475B
900096,2022-05-21,2022-05-18,13,Mojokerto,2000176,1GT01XEG2FZ694240,HBQBMH10E35Q167P
900097,2022-08-13,2022-08-12,3,Rozwadza,2000175,1GT01XEGXFZ519864,HHBEPI57O65K856C
900098,2022-07-05,2022-07-03,4,Savitaipale,2000128,1GT01ZCGXCF461847,HHTIBF31E44D146I
900099,2022-07-16,2022-07-15,11,Kelasuri,2000034,1GTN1TEH2FZ044041,HKGSWS83V01P425N
900100,2022-07-21,2022-07-18,7,Shardara,2000104,1GTN1TEXXBZ168737,HNIKRQ55V95I176E
900101,2022-08-14,2022-08-13,5,Koupla,2000037,1GYEC63858R779088,HOBWBO65C48D721M
900102,2022-06-27,2022-06-25,18,"San Miguel",2000041,1GYFC23219R024854,HTTUBV34H99Z729I
900103,2022-06-02,2022-06-01,16,Shumyachi,2000138,1GYFK16229R228930,HVYDZC52N40G147U
900104,2022-08-14,2022-08-12,18,Terangun,2000075,1GYS3JKJ1FR525031,HXJRYW27C89O640E
900105,2022-05-28,2022-05-26,19,Houjia,2000011,1GYS3KEF6DR579290,HYCKWG44E89U808X
900106,2022-07-23,2022-07-22,9,Lhoknga,2000114,1GYS4AEF4ER129453,HYEVIR65R13R863T
900107,2022-06-18,2022-06-16,13,Nyakhachava,2000145,1GYS4AEFXER131420,HYGYDE43Y42E709K
900108,2022-07-30,2022-07-29,13,Zhongxing,2000021,1GYS4DEF7DR217123,IABKUK22Z37D061M
900109,2022-05-18,2022-05-16,9,Yashalta,2000034,1GYS4TKJ8FR439241,IAFUPZ19J05E550G
900110,2022-06-16,2022-06-13,11,Guxi,2000099,1GYUKFEJ9AR730108,ICXBOO62C46X083E
900111,2022-08-15,2022-08-14,4,Chortkiv,2000058,1HGCP2E47AA234410,IDNEDA42K99Z105D
900112,2022-07-04,2022-07-02,5,Xinzhou,2000135,1J4NF1GB9BD533505,IGMUSX66C80A459K
900113,2022-08-15,2022-08-14,20,Zhongxing,2000176,1LNHL9DR3BG909556,IJOPLL06H77E285D
900114,2022-07-18,2022-07-15,7,Rozwadza,2000033,1N4AL2AP5AC284704,ILZDWE20K83Y397L
900115,2022-07-14,2022-07-12,3,Fundong,2000031,1N4AL3AP1EC713008,IRJGGA40T64O781I
900116,2022-06-13,2022-06-10,14,Jumpangdua,2000012,1N4AL3AP5DC696261,IUAUCC59K14V403A
900117,2022-05-31,2022-05-28,12,Chortkiv,2000113,1N4AL3AP5DC719294,IUQBNZ58M84D403V
900118,2022-07-03,2022-06-30,7,Fundong,2000142,1N6AA0CA5DN381548,IVVAMK71D96D702P
900119,2022-07-13,2022-07-11,19,"Ponte Nova",2000176,1N6AA0CC4CN697149,IYHSYU20Q02A647R
900120,2022-06-19,2022-06-18,11,Sardasht,2000055,1N6AA0CC6CN735660,JDIHAJ88T19B837X
900121,2022-07-04,2022-07-01,17,"San Miguel",2000121,1N6AA0CH1FN392353,JERYSF73Y93B513L
900122,2022-05-23,2022-05-21,9,Houjia,2000024,1N6AA0CH2FN812489,JLUVDA46I64N566F
900123,2022-08-02,2022-08-01,3,Yajiang,2000172,1N6AA0CJ2EN592594,JNJFET65S81O245C
900124,2022-06-02,2022-05-30,16,"Ponte Nova",2000037,1N6AA0CJ7DN220022,JOKOST95I95X208Q
900125,2022-08-04,2022-08-02,5,Pyatovskiy,2000069,1N6AA0CJ7DN535161,JQJNZR80E43T845L
900126,2022-07-04,2022-07-03,10,Niedzwiedz,2000137,1N6AA0CJ7EN320591,JRDJBP14T62B193U
900127,2022-07-04,2022-07-03,13,"Ponte Nova",2000000,1N6AA0CJ8DN050818,JTGHVB47L45I393J
900128,2022-06-10,2022-06-09,7,Hengjie,2000054,1N6AA0CJ8DN353226,JTULLO61Y25S823R
900129,2022-06-19,2022-06-17,7,"Black River",2000004,1N6AA0EC3FN259420,JXJDGT67V10U184X
900130,2022-07-15,2022-07-12,8,Hengjie,2000003,1N6AA0EC5FN531126,KAXIBF41S45E960C
900131,2022-06-10,2022-06-09,4,Guxi,2000063,1N6AD0CUXEN900726,KCGLJS68H10V339V
900132,2022-06-18,2022-06-17,10,Rentian,2000021,1N6AD0CW9FN014819,KDHSXC24K95N963X
900133,2022-07-31,2022-07-29,15,"Curahkalak Tengah",2000155,1N6BF0KL3FN743131,KEWNPU87R60M051Y
900134,2022-06-23,2022-06-20,17,Koupla,2000135,1N6BF0KX2FN983628,KGWCCR64N20M371K
900135,2022-05-19,2022-05-18,17,Shardara,2000123,1VWAH7A38DC089591,KHNGVR24U57B585S
900136,2022-05-25,2022-05-22,3,Jumpangdua,2000106,1VWAH7A38DC923911,KJALBE02P35I118P
900137,2022-06-22,2022-06-21,14,"Ponte Nova",2000155,2B3CA5CT8AH379423,KKJDCG64V27L600K
900138,2022-07-31,2022-07-30,18,Kelasuri,2000004,2B3CJ5DT7AH924462,KNQBZU56W79E359J
900139,2022-07-08,2022-07-06,16,Tyres,2000118,2B3CL5CT1BH952335,KSDJJH71U00Y725P
900140,2022-07-18,2022-07-16,12,Xinzhou,2000083,2C3CA5CV3AH273787,KUYMGU73Q91J876N
900141,2022-07-01,2022-06-30,16,Rozwadza,2000178,2C3CCAJT0CH785840,KWAQDB74C35Z586L
900142,2022-05-24,2022-05-21,14,Lhoknga,2000011,2C3CCARG5FH232497,KYDNFZ29V38P640C
900143,2022-05-31,2022-05-30,8,Reforma,2000006,2C3CCAST8CH082341,KYJCJD28C91F907R
900144,2022-08-02,2022-08-01,12,Bors,2000172,2C3CDXCT9CH673745,LHSULI77T62O389B
900145,2022-08-08,2022-08-06,10,Dengzhou,2000033,2C3CDXJG9FH684951,LJGWVZ25B16G064R
900146,2022-07-17,2022-07-14,13,Mojokerto,2000000,2C3CDZBTXFH757560,LKJXSC71S73H779Q
900147,2022-07-27,2022-07-24,8,Guxi,2000094,2C4RDGDG7FR998187,LKKMMF59H36K486E
900148,2022-07-17,2022-07-15,10,Tomakivka,2000039,2FMGK5D80FB455243,LKSOAQ00H76A420L
900149,2022-06-05,2022-06-04,16,Sardasht,2000089,2FMPK4J96FB259993,LLCWQW56E47X161T
900150,2022-06-30,2022-06-28,11,Xinzhou,2000139,2G4G15GV0B9736113,LPWMRY69X73W341C
900151,2022-07-31,2022-07-29,12,"Banjar Bongangede",2000024,2G4GL5EX3F9715518,LPXVQB71D50J378L
900152,2022-06-17,2022-06-15,12,Sardasht,2000133,2G4GU5GV6C9953268,LRGQSJ30V92V352A
900153,2022-06-13,2022-06-11,8,Ambarawa,2000143,2G4WB55K211875450,LRKFPS88X29R793R
900154,2022-07-10,2022-07-09,9,"Ponte Nova",2000043,2G4WB55K511641593,LRNKWD99T00O750L
900155,2022-08-02,2022-07-31,10,Terangun,2000104,2G4WB55KX41948150,LSFPBQ10U09G931S
900156,2022-06-16,2022-06-13,7,Creil,2000030,2G4WC582081194447,LVHJLH44H26L328L
900157,2022-05-27,2022-05-26,8,Terangun,2000010,2G4WC582361989893,LWHQLJ48J26E443F
900158,2022-06-30,2022-06-29,9,Reforma,2000018,2G4WS55J051291559,LXRAQZ48V67E614N
900159,2022-06-08,2022-06-07,7,"Black River",2000132,2G61M5S32F9260107,LYIKNH46D31R943R
900160,2022-07-02,2022-06-30,15,Rentian,2000110,2HNYD18401H749778,LZCJKW61P36B956M
900161,2022-08-15,2022-08-14,18,Xinzhou,2000145,2HNYD18694H097457,LZYVRC98C75I155R
900162,2022-07-05,2022-07-04,6,"Zgornje Pirnice",2000094,2HNYD18765H282057,LZYZFZ86Q98M893U
900163,2022-07-26,2022-07-25,14,Zhongxing,2000010,2HNYD18813H929955,MAMNDW82M71Z785X
900164,2022-06-10,2022-06-08,5,"Curahkalak Tengah",2000168,2HNYD284X7H767364,MBIOWU23F78K866P
900165,2022-05-30,2022-05-28,8,Busay,2000069,2T1BPRHE8EC231105,MCIUZQ98N67S561P
900166,2022-07-12,2022-07-09,7,Fundong,2000013,2T1BU4EE7DC772399,MGYFKW26U26W818G
900167,2022-06-20,2022-06-19,9,Ambarawa,2000173,2T1BURHE6FC671091,MKDYLX10G79E360T
900168,2022-06-25,2022-06-23,16,Savitaipale,2000116,2T1KE4EE8AC398801,MLGKBD08Z35O848F
900169,2022-07-16,2022-07-15,5,"Zgornje Pirnice",2000051,2T2BK1BA1FC595403,MMXLUZ88S71D170B
900170,2022-08-07,2022-08-04,8,Henanan,2000021,2T2BK1BA9BC159389,MQBVSE69G24X064B
900171,2022-08-02,2022-08-01,17,Henanan,2000014,3C3CFFCR3CT171989,MQOITN77R10W569M
900172,2022-07-03,2022-07-02,17,Kelasuri,2000166,3C3CFFCRXET920659,MQRHFW38P55L584M
900173,2022-08-10,2022-08-08,11,Leubatang,2000094,3C4PDCEG8CT210203,MRFBHV75F19E331I
900174,2022-08-09,2022-08-08,19,Terangun,2000042,3C4PDCGB9ET715123,MRRQBD39M25T250G
900175,2022-06-28,2022-06-25,14,Terangun,2000000,3C6JD6CTXCG509764,MSSUCT96G05K517C
900176,2022-05-25,2022-05-24,3,Mojokerto,2000060,3C6JD6DK7CG385569,MXXDSV00E08U505V
900177,2022-07-04,2022-07-03,14,Sardasht,2000008,3C6LD4BT0CG990235,MXZDCD63C48U147N
900178,2022-06-25,2022-06-24,20,Creil,2000138,3C6TD4HT9CG111659,NANVTP58V02Y142L
900179,2022-06-22,2022-06-19,13,Nyakhachava,2000044,3C6TD5JT5CG478770,NBBTJR38Y98P820S
900180,2022-06-25,2022-06-22,11,Floda,2000032,3C6TD5JT7CG289330,NGXVWJ83M26A237B
900181,2022-08-04,2022-08-01,4,Kti,2000122,3C6TD5PT7CG006318,NIBKHQ60U35T776C
900182,2022-06-11,2022-06-10,4,Pyatovskiy,2000042,3CZRE3H33AG472743,NKYXHT32Y15M087X
900183,2022-07-10,2022-07-08,5,Bors,2000049,3D4PG6FV1AT098785,NKZHSJ02P02N018O
900184,2022-05-16,2022-05-15,19,Yajiang,2000086,3D73M3CL4BG939956,NNASML76Q64W590P
900185,2022-05-22,2022-05-20,15,Taouloukoult,2000011,3D73M4CL3AG152856,NQBBGM31A89H759B
900186,2022-08-05,2022-08-02,10,Busay,2000026,3D73M4EL0BG763717,NRTUXV39A89B356W
900187,2022-06-22,2022-06-19,14,"Curahkalak Tengah",2000047,3D73M4EL2BG821617,NTSZUG77F81W172E
900188,2022-07-30,2022-07-28,18,"Montes Claros",2000083,3D73M4HL7AG466776,NUOJUU31A45U320R
900189,2022-07-05,2022-07-04,9,Terangun,2000136,3D73Y3HLXBG454234,NUXFNE88B80P060K
900190,2022-05-24,2022-05-22,12,Hengjie,2000036,3D73Y4CL5BG082167,NYRFJW88R21G018A
900191,2022-06-29,2022-06-28,10,Donglai,2000128,3D7LP2ET7AG219094,NZKDTB88N83Q628F
900192,2022-07-12,2022-07-11,17,Lhoknga,2000027,3D7TP2CT7BG106797,OBMZOY88C44Z114M
900193,2022-06-26,2022-06-24,12,Xinzhou,2000133,3D7TT2CT6AG387839,ODAOBR73F09Q200J
900194,2022-06-10,2022-06-07,4,Kelasuri,2000139,3D7TT2CT9BG936693,OHNRPS67N28P611D
900195,2022-05-17,2022-05-15,20,Tyres,2000051,3FA6P0D98DR094929,OICNGB68T51X003N
900196,2022-08-15,2022-08-14,3,"Banjar Bongangede",2000013,3FA6P0LU0FR138351,OIMLAU06U16T552F
900197,2022-07-25,2022-07-22,19,Xinzhou,2000119,3FA6P0LU4DR659523,OIUNUQ80E17J481V
900198,2022-07-27,2022-07-25,15,"Ponte Nova",2000094,3FADP4AJ7EM395235,OJWXGA69F45E515X
900199,2022-05-17,2022-05-16,12,Guxi,2000015,3FAHP0KC1AR422971,OLCDAV80O46K162E
900200,2022-07-22,2022-07-20,15,"Ponte Nova",2000120,3GYFK66N55G408016,ONVKJV29N38D056E
900201,2022-06-04,2022-06-02,15,Tyres,2000113,3GYFNDEY5BS683238,OPUUJD73B87X302U
900202,2022-06-26,2022-06-25,15,Niedzwiedz,2000156,3GYT4NEF7BG203259,OTGPQC58Z84Z320S
900203,2022-07-09,2022-07-07,19,Yasothon,2000115,3GYVKNEF5AG473913,OTHWHS33G25Y812P
900204,2022-07-21,2022-07-20,10,Tomakivka,2000097,3N1AB7AP6FL280475,OZHCVA09Z10X338T
900205,2022-08-09,2022-08-07,12,Yashalta,2000030,3N1AB7AP8FL626848,OZVRKR96U73F698M
900206,2022-05-27,2022-05-24,18,Tyres,2000117,3N1CE2CP2EL723347,PADBXY05D59J640O
900207,2022-06-20,2022-06-18,10,Tyres,2000097,3TMJU4GN6AM307284,PASJSP67W24C424O
900208,2022-05-23,2022-05-20,19,Jumpangdua,2000005,3VW117AU0FM336522,PFOKFX12I37K046N
900209,2022-05-17,2022-05-16,12,Houjia,2000051,3VW1K7AJ2FM012457,PFQSHB09I80Q357U
900210,2022-06-23,2022-06-21,15,Yajiang,2000126,3VW1K7AJ3DM433732,PHZXFC59G30G609X
900211,2022-07-26,2022-07-25,12,Tomakivka,2000154,3VW467ATXCM439657,PJTQVI42U39F924P
900212,2022-07-30,2022-07-28,12,Nyakhachava,2000167,3VW4S7AT0EM013779,PQDADB31C43A759F
900213,2022-08-14,2022-08-12,6,Ambarawa,2000106,3VW517AT5FM087918,PQKTMT95S16Q895M
900214,2022-06-20,2022-06-18,20,Tomakivka,2000137,3VWJP7AT8CM628047,PRIUNU55T10P633G
900215,2022-07-11,2022-07-08,3,Chortkiv,2000094,3VWJP7ATXCM504314,PTQVBM41C96L945Z
900216,2022-08-08,2022-08-05,8,Rozwadza,2000003,3VWKX7AJ1CM890916,PTVOLQ81R63Q868U
900217,2022-06-07,2022-06-04,20,Guxi,2000132,3VWKX7AJ7CM966509,PVWTOM06S63Y755D
900218,2022-08-06,2022-08-05,11,Taouloukoult,2000039,3VWKZ8AJ4BM690725,PWVNFA84L87H456N
900219,2022-06-10,2022-06-07,10,Yajiang,2000152,4A31K5DFXAE518483,PXHVMC72N67J929R
900220,2022-07-10,2022-07-07,17,Kapinango,2000024,4JGDF2EE7EA427236,PZXGEE19W85R063I
900221,2022-07-14,2022-07-11,10,Tomakivka,2000171,4JGDF2EE9DA361030,QDHHHI76T56Y626S
900222,2022-07-22,2022-07-21,20,Brasy,2000063,4T1BD1FK9EU623642,QDVRDB36T13B101K
900223,2022-07-13,2022-07-12,19,Shardara,2000136,4T1BK1EB1FU619660,QGVZVJ67E81R347X
900224,2022-05-20,2022-05-19,13,Niedzwiedz,2000051,4T1BK3DB7AU132257,QKMGNG24P69G852U
900225,2022-05-26,2022-05-24,7,Shumyachi,2000091,4T1BK3DBXAU369213,QLFGBG14D97K963Z
900226,2022-05-28,2022-05-27,5,Rozwadza,2000056,4USBU33508L223116,QLHLJR90I91Y802G
900227,2022-05-27,2022-05-26,13,Chortkiv,2000132,4USBU33558L960439,QNNWOP03R38H444V
900228,2022-07-13,2022-07-11,13,"Ponte Nova",2000179,4USCN33412L473206,QSWUSY71S05C168H
900229,2022-07-24,2022-07-22,13,Savitaipale,2000007,4USCN33472L268523,QTMJOS21L55C778J
900230,2022-06-09,2022-06-08,18,"Ponte Nova",2000026,5FRYD3H46EB647560,QYDKBO24F43L414S
900231,2022-07-21,2022-07-18,7,Bors,2000083,5FRYD3H69EB485733,RARJPS09X74W370I
900232,2022-06-12,2022-06-09,10,Tyres,2000168,5FRYD3H95GB352450,RCKEZK69Q49V464N
900233,2022-07-25,2022-07-24,18,Henanan,2000021,5GADT13S952457138,RDEBGZ87Q16Y538B
900234,2022-08-07,2022-08-04,7,"Black River",2000024,5GADV23W87D438509,RFOPIM00M55G831P
900235,2022-05-22,2022-05-20,6,Yashalta,2000003,5GAER13708J558304,RGFIXV77C92K763N
900236,2022-08-01,2022-07-30,18,"San Miguel",2000124,5GAER13D49J593435,RNCVFW69M72H227R
900237,2022-06-28,2022-06-26,9,Sardasht,2000032,5GAEV13D19J383628,RNOKRN43U30X018N
900238,2022-06-11,2022-06-10,8,Tyres,2000122,5GAKRBED1CJ215313,RSWGTN80K34P488Q
900239,2022-07-08,2022-07-06,16,Rentian,2000010,5GAKRCKD5EJ416242,RTXMLP84W56D464V
900240,2022-05-27,2022-05-25,17,Riti,2000008,5J6TF2H54EL172149,RZCUNR76K90W458Y
900241,2022-06-21,2022-06-18,4,Niedzwiedz,2000058,5J6TF2H55DL167282,SGAXVJ37U31W529G
900242,2022-05-30,2022-05-29,14,Creil,2000074,5J6TF2H55DL704250,SGIJKK86Q13Q093Y
900243,2022-06-30,2022-06-28,13,Shardara,2000079,5J6TF2H58FL993885,SJBGTR85H08I440A
900244,2022-08-04,2022-08-03,7,Citt,2000064,5J8TB18547A036289,SMCGRU10E98T436X
900245,2022-08-05,2022-08-03,17,Reforma,2000139,5J8TB1H51CA643955,SSNURZ92T99H278W
